"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Lillia","Top",1,"0.1%","0.5%","1.3%","0%","100%",3,4,6,2.3,"69.2%","23.5%","-","-","-","-",9.2,"-",771,"33.8%","24.8%",0,0.11
"Lissandra","Middle",42,"2.8%","3.5%","6.3%","43%","95%",99,128,303,3.1,"69.7%","22.5%","19%",103,-105,0.6,8.1,"24.1%",427,"21.8%","20.7%",0.33,0.25
"Lucian","ADC",238,"15.9%","28.5%","44.5%","50%","52%",868,520,935,3.5,"68.6%","20.2%","13%",90,71,1.6,9.3,"31.0%",662,"30.3%","27.4%",0.39,0.39
"Lucian","Middle",2,"0.1%","28.5%","44.5%","50%","100%",11,7,15,3.7,"89.7%","28.0%","50%",133,59,-3.5,7.9,"26.1%",684,"28.8%","26.1%",0.51,0.35
"Lulu","Support",294,"19.6%","9.7%","29.3%","47%","62%",124,548,2410,4.6,"80.2%","16.7%","12%",-54,-95,-1.2,0.7,"2.0%",119,"6.1%","9.1%",1.36,0.33
"Lux","Support",52,"3.5%","0.3%","3.8%","58%","60%",55,142,388,3.1,"74.2%","25.5%","23%",53,2,-3.4,0.8,"3.6%",301,"14.2%","10.2%",1.12,0.4
"Malphite","Top",61,"4.1%","4.5%","8.6%","38%","87%",80,156,317,2.5,"58.7%","18.2%","5%",-207,-130,-9.1,7.7,"22.9%",419,"22.0%","20.3%",0.41,0.19
"Maokai","Jungle",410,"27.3%","33.2%","61.8%","58%","34%",692,1059,3183,3.7,"74.5%","21.6%","17%",-57,-52,-0.9,5,"13.1%",464,"19.5%","16.8%",0.32,0.34
"Maokai","Support",17,"1.1%","33.2%","61.8%","53%","35%",20,51,126,2.9,"71.6%","24.4%","6%",20,11,0.2,1.4,"3.5%",242,"12.1%","9.7%",1.52,0.41
"Maokai","Top",2,"0.1%","33.2%","61.8%","50%","50%",1,6,16,2.8,"65.4%","25.0%","50%",-497,-479,-25,7.1,"21.5%",410,"19.4%","19.2%",0.4,0.04
"Milio","Support",119,"7.9%","21.1%","29.0%","53%","19%",37,180,992,5.7,"81.0%","14.7%","11%",-8,-78,0.9,0.9,"1.8%",63,"3.2%","9.2%",1.55,0.31
"Miss Fortune","ADC",2,"0.1%","0.3%","0.8%","0%","50%",6,9,7,1.4,"61.9%","25.0%","0%",173,321,15.5,9.3,"33.0%",617,"30.7%","27.7%",0.25,0.36
"Miss Fortune","Support",6,"0.4%","0.3%","0.8%","67%","100%",9,13,40,3.8,"58.3%","17.8%","-","-","-","-",1.4,"-",624,"23.6%","12.0%",1.97,0.58
"Mordekaiser","Top",4,"0.3%","0.1%","0.4%","75%","75%",12,9,18,3.3,"49.2%","24.3%","-","-","-","-",7.7,"-",553,"25.5%","20.3%",0.28,0.08
"Morgana","Support",2,"0.1%","0.0%","0.1%","0%","100%",0,4,4,1,"80.0%","13.8%","0%",217,-194,-10,0.4,"1.5%",176,"11.7%","8.2%",1.75,0.31
"Nami","Support",230,"15.3%","0.3%","15.7%","48%","34%",130,427,1913,4.8,"82.1%","16.7%","15%",-53,8,-2.7,0.5,"1.7%",165,"7.8%","9.1%",1.26,0.31
"Nautilus","Jungle",15,"1.0%","15.0%","41.2%","67%","53%",14,44,128,3.2,"67.0%","26.3%","40%",-93,-173,-7.8,4.7,"13.1%",220,"9.1%","15.0%",0.41,0.32
"Nautilus","Support",378,"25.2%","15.0%","41.2%","46%","66%",263,1365,2968,2.4,"66.3%","25.9%","12%",-12,8,2.1,1.2,"2.4%",141,"6.6%","9.0%",1.56,0.35
"Neeko","Jungle",5,"0.3%","30.0%","40.3%","60%","40%",13,12,43,4.7,"73.7%","23.1%","20%",415,565,15.8,7,"16.5%",453,"19.0%","19.2%",0.95,0.53
"Neeko","Middle",150,"10.0%","30.0%","40.3%","54%","24%",346,391,951,3.3,"64.1%","20.9%","6%",35,106,3.5,7.9,"21.4%",499,"24.2%","20.6%",0.33,0.21
"Nidalee","Jungle",21,"1.4%","2.3%","3.8%","52%","76%",67,57,133,3.5,"71.9%","20.2%","19%",447,137,2.7,6.4,"17.1%",563,"22.5%","20.0%",0.46,0.56
"Nidalee","Top",1,"0.1%","2.3%","3.8%","0%","100%",1,4,1,0.5,"33.3%","21.1%","-","-","-","-",7.3,"-",600,"33.6%","20.6%",0.41,0.16
"Nilah","ADC",7,"0.5%","1.3%","1.8%","57%","86%",47,22,49,4.4,"81.4%","19.8%","57%",34,801,0,8.9,"34.3%",549,"23.8%","28.4%",0.33,0.29
"Nocturne","Jungle",71,"4.7%","7.0%","11.7%","45%","80%",181,197,483,3.4,"70.0%","20.2%","18%",102,136,5.1,6.1,"16.6%",319,"15.0%","19.2%",0.7,0.39
"Olaf","Jungle",1,"0.1%","0.5%","1.4%","0%","100%",4,4,2,1.5,"85.7%","28.6%","0%",155,408,6,6.3,"20.7%",527,"26.2%","23.7%",0.37,0.3
"Olaf","Top",12,"0.8%","0.5%","1.4%","50%","92%",32,30,43,2.5,"53.2%","19.7%","0%",20,-98,5.8,8.5,"26.3%",514,"24.5%","24.1%",0.37,0.22
"Orianna","Middle",16,"1.1%","0.7%","1.7%","50%","81%",54,34,97,4.4,"72.2%","15.7%","13%",56,23,3.8,8.8,"27.3%",638,"28.0%","24.3%",0.34,0.18
"Ornn","Top",103,"6.9%","2.4%","9.3%","54%","87%",138,221,650,3.6,"59.8%","18.4%","8%",-386,-177,-10,7.2,"20.8%",426,"19.3%","18.7%",0.41,0.15
"Pantheon","Support",1,"0.1%","0.0%","0.1%","0%","0%",0,6,5,0.8,"62.5%","28.6%","0%",-86,51,3,1.3,"3.1%",183,"12.6%","7.9%",1.81,0.34
"Poppy","Jungle",123,"8.2%","18.0%","29.9%","47%","68%",206,325,852,3.3,"70.3%","21.1%","20%",-109,-144,-4.2,4.9,"13.1%",240,"11.2%","16.0%",0.39,0.42
"Poppy","Top",56,"3.7%","18.0%","29.9%","57%","79%",86,87,319,4.7,"55.8%","13.5%","4%",-35,7,-2.8,7.7,"22.3%",526,"22.9%","20.1%",0.42,0.18
"Pyke","Support",11,"0.7%","0.3%","1.0%","45%","100%",29,37,41,1.9,"48.6%","25.7%","18%",41,-189,8,1.7,"3.7%",173,"8.0%","10.9%",2.24,0.88
"Qiyana","Middle",6,"0.4%","0.1%","0.5%","67%","100%",24,12,30,4.5,"58.1%","16.0%","-","-","-","-",7.5,"-",450,"18.2%","23.4%",0.43,0.21
"Quinn","Top",9,"0.6%","0.5%","1.1%","78%","100%",38,21,48,4.1,"69.4%","18.6%","11%",217,-183,6.4,9.7,"28.9%",831,"35.5%","27.0%",0.42,0.18
"Rakan","Support",425,"28.3%","20.5%","48.8%","54%","25%",292,1072,3981,4,"78.0%","21.2%","14%",-37,25,4,1.3,"2.9%",137,"6.6%","9.6%",1.95,0.51
"Rek'Sai","Jungle",5,"0.3%","0.1%","0.4%","20%","80%",9,15,16,1.7,"59.5%","22.7%","40%",127,310,3.7,6.2,"16.6%",321,"16.4%","20.5%",0.37,0.45
"Rell","Jungle",47,"3.1%","10.4%","27.4%","57%","45%",49,129,475,4.1,"81.6%","23.1%","26%",-50,6,0,4.9,"12.3%",221,"9.8%","15.7%",0.38,0.33
"Rell","Support",209,"13.9%","10.4%","27.4%","51%","26%",125,734,2047,3,"75.6%","26.0%","18%",12,-25,0.7,1.2,"2.3%",128,"5.9%","9.0%",1.71,0.38
"Renata Glasc","Support",68,"4.5%","3.1%","7.6%","65%","81%",45,144,666,4.9,"76.2%","18.9%","10%",9,-51,-5,1,"2.6%",152,"6.9%","9.8%",1.84,0.4
"Renekton","Middle",7,"0.5%","30.6%","61.1%","29%","57%",9,30,34,1.4,"52.4%","27.3%","0%",545,-228,1,7.5,"20.6%",412,"16.3%","19.9%",0.25,0.22
"Renekton","Top",450,"30.0%","30.6%","61.1%","49%","28%",981,1246,1846,2.3,"51.0%","22.5%","10%",201,111,5.6,8.6,"25.4%",451,"21.4%","22.6%",0.34,0.22
"Rengar","Jungle",8,"0.5%","1.2%","1.7%","63%","50%",22,21,66,4.2,"62.4%","21.9%","0%",957,1137,24,6.4,"23.4%",322,"14.0%","18.6%",0.31,0.5
"Rumble","Jungle",2,"0.1%","12.0%","16.7%","50%","100%",4,3,5,3,"56.3%","15.8%","0%",155,342,12,7.7,"22.0%",378,"18.8%","20.8%",0.35,0.3
"Rumble","Top",69,"4.6%","12.0%","16.7%","54%","33%",235,207,438,3.3,"65.5%","22.3%","12%",329,250,10.3,7.6,"22.5%",716,"30.8%","21.2%",0.42,0.1
"Ryze","Middle",108,"7.2%","10.9%","18.2%","45%","31%",302,264,484,3,"64.4%","19.1%","4%",-69,-27,2.3,9.1,"27.6%",546,"25.7%","24.3%",0.34,0.22
"Ryze","Top",2,"0.1%","10.9%","18.2%","100%","100%",6,0,13,19,"65.5%","0.0%","0%",295,261,16.5,9.7,"29.5%",696,"33.2%","24.7%",0.6,0.2
"Samira","ADC",23,"1.5%","2.0%","3.5%","43%","100%",99,67,88,2.8,"64.9%","20.2%","13%",-6,-134,-8.9,9,"29.0%",442,"22.0%","25.7%",0.55,0.39
"Sejuani","Jungle",577,"38.4%","30.2%","69.2%","47%","40%",817,1376,4294,3.7,"75.2%","19.4%","22%",-28,-5,0.4,5.2,"13.6%",276,"13.2%","16.6%",0.36,0.44
"Sejuani","Middle",1,"0.1%","30.2%","69.2%","0%","100%",0,4,2,0.5,"100.0%","20.0%","0%",-383,-542,-3,7.5,"21.6%",322,"22.9%","23.5%",0.33,0.17
"Sejuani","Top",7,"0.5%","30.2%","69.2%","43%","14%",10,21,35,2.1,"68.2%","28.0%","43%",-46,-17,-10,6.8,"18.4%",446,"22.8%","19.2%",0.39,0.22
"Senna","Support",1,"0.1%","0.0%","0.1%","100%","100%",0,1,7,7,"70.0%","10.0%","0%",257,-154,0,0.9,"4.4%",349,"14.4%","12.8%",1.59,0.49
"Seraphine","ADC",1,"0.1%","0.1%","0.3%","0%","100%",1,5,1,0.4,"40.0%","29.4%","0%",-742,-190,-19,7.5,"24.4%",383,"18.6%","21.5%",0.26,0.15
"Seraphine","Middle",1,"0.1%","0.1%","0.3%","100%","100%",3,1,6,9,"69.2%","11.1%","0%",-231,-142,-3,8,"20.3%",686,"27.8%","22.2%",0.54,0.21
"Seraphine","Support",1,"0.1%","0.1%","0.3%","100%","100%",2,1,12,14,"82.4%","20.0%","100%",932,55,-10,0.8,"2.7%",216,"11.3%","11.4%",1.68,0.47
"Sett","Middle",1,"0.1%","0.2%","0.7%","100%","0%",0,0,8,8,"66.7%","0.0%","100%",-315,-969,-23,7.2,"19.7%",267,"11.3%","15.8%",0.43,0.16
"Sett","Support",6,"0.4%","0.2%","0.7%","17%","83%",7,21,27,1.6,"53.1%","23.6%","33%",72,35,-0.6,1.4,"3.4%",208,"8.4%","8.7%",1.66,0.57
"Sett","Top",1,"0.1%","0.2%","0.7%","100%","100%",2,4,6,2,"53.3%","36.4%","-","-","-","-",5.7,"-",312,"12.8%","16.8%",0.42,0.2
"Shen","Support",1,"0.1%","0.0%","0.1%","0%","100%",0,4,11,2.8,"100.0%","17.4%","-","-","-","-",1.6,"-",170,"8.1%","9.4%",0,0.72
"Singed","Support",2,"0.1%","0.0%","0.1%","50%","100%",0,6,10,1.7,"45.5%","30.0%","0%",-345,-465,2.5,1.1,"2.2%",70,"3.5%","7.6%",1.1,0.32
"Sion","Jungle",6,"0.4%","8.7%","24.1%","50%","50%",5,13,37,3.2,"65.6%","21.7%","33%",-52,-98,-3.3,5.6,"14.8%",222,"9.9%","16.5%",0.34,0.36
"Sion","Top",225,"15.0%","8.7%","24.1%","50%","51%",285,507,1226,3,"56.3%","18.9%","7%",-156,-43,-6.3,7.3,"21.1%",435,"20.4%","19.3%",0.36,0.15
"Sivir","ADC",76,"5.1%","1.5%","6.5%","36%","88%",195,186,382,3.1,"71.3%","17.8%","11%",-188,-155,-5.8,10,"35.0%",610,"27.3%","26.9%",0.36,0.37
"Skarner","Jungle",10,"0.7%","0.5%","1.2%","60%","100%",12,15,89,6.7,"79.5%","16.3%","10%",-86,64,3.1,5.1,"12.4%",162,"7.8%","16.3%",0.39,0.41
"Sona","Support",7,"0.5%","0.0%","0.5%","57%","100%",10,14,63,5.2,"82.0%","17.3%","29%",421,372,1.5,0.6,"1.7%",223,"10.2%","11.3%",1.61,0.41
"Soraka","Support",20,"1.3%","0.3%","1.6%","45%","100%",8,46,165,3.8,"75.9%","19.7%","10%",68,-3,-2.4,0.7,"2.4%",142,"6.6%","9.2%",1.38,0.38
